Name,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME,Budget,Percentage in 4 hours or less (type 1),Type 1 Departments - Major A&E
Barts Health NHS Trust,15,12,8,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.862187263,26727
Barts Health NHS Trust,20,16,11,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.875507159,28102
Barts Health NHS Trust,23,18,14,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.87574122,26939
Barts Health NHS Trust,27,22,18,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.849815567,28357
Barts Health NHS Trust,23,20,16,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.873567985,25099
Barts Health NHS Trust,20,16,13,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.871121954,25934
Barts Health NHS Trust,16,13,10,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.865193004,27167
Barts Health NHS Trust,12,10,7,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.858858647,27483
Barts Health NHS Trust,10,8,6,2746507,163247,163966,165202,151024,181818,242516,249382,226861,205713,183192,177067,157649,124691,94479,82944,58500,43504,42296,1373253,1630000000,0.849393761,27102
Barts Health NHS Trust,7,5,2,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.832442878,28273
Barts Health NHS Trust,11,8,5,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.825268088,25261
Barts Health NHS Trust,12,10,6,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.834465912,27950
Barts Health NHS Trust,15,11,7,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.835304291,26232
Barts Health NHS Trust,17,13,9,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.865788077,26485
Barts Health NHS Trust,20,17,13,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.85354805,26318
Barts Health NHS Trust,24,20,16,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.866298244,27522
Barts Health NHS Trust,24,20,16,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.854845483,25573
Barts Health NHS Trust,20,17,13,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.844503508,26233
Barts Health NHS Trust,15,12,10,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.826717365,27007
Barts Health NHS Trust,10,8,6,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.819229987,27421
Barts Health NHS Trust,9,7,5,2773629,164859,165585,166833,152516,183614,244911,251845,229101,207744,185001,178815,159206,125922,95412,83763,59078,43934,42713,1386814,1725000000,0.800275364,27443
Barts Health NHS Trust,9,7,5,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.817770361,25529
Barts Health NHS Trust,10,7,5,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.841794098,23388
Barts Health NHS Trust,11,7,5,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.81781683,18470
Barts Health NHS Trust,16,12,8,2800751,166471,167204,168465,154007,185409,247306,254308,231342,209776,186810,180564,160763,127154,96345,84582,59655,44363,43131,1400375,1820000000,0.853133079,11732
